Year,Value
2005,65100
2006,65100
2007,65100
2008,135351
2009,135351
2010,278874
2011,310282
2012,340848
2013,363003
2014,363003
2015,363003
2016,363003
2017,363003
2018,363003
2019,363003
2020,363003
2021,661000
