Year,Ortsteil,District,GeoCode,Value
2021,Adlershof,Treptow-Koepenick,re_ortsteil.0907,35
2021,Altglienicke,Treptow-Koepenick,re_ortsteil.0906,66
2021,Alt-Treptow,Treptow-Koepenick,re_ortsteil.0901,73
2021,Baumschulenweg,Treptow-Koepenick,re_ortsteil.0903,34
2021,Bohnsdorf,Treptow-Koepenick,re_ortsteil.0908,7
2021,Friedrichshagen,Treptow-Koepenick,re_ortsteil.0911,37
2021,Gruenau,Treptow-Koepenick,re_ortsteil.0913,28
2021,Johannisthal,Treptow-Koepenick,re_ortsteil.0904,4
2021,Koepenick,Treptow-Koepenick,re_ortsteil.0910,103
2021,Mueggelheim,Treptow-Koepenick,re_ortsteil.0914,5
2021,Niederschoeneweide,Treptow-Koepenick,re_ortsteil.0905,25
2021,Oberschoeneweide,Treptow-Koepenick,re_ortsteil.0909,32
2021,Plaenterwald,Treptow-Koepenick,re_ortsteil.0902,18
2021,Rahnsdorf,Treptow-Koepenick,re_ortsteil.0912,15
2021,Schmoeckwitz,Treptow-Koepenick,re_ortsteil.0915,49
