Year,Status,Value
2017,Keine Bewerbung,60
2017,In Bewerbung,0
2017,Fairtrade-School zertifiziert,0
2018,Keine Bewerbung,59
2018,In Bewerbung,1
2018,Fairtrade-School zertifiziert,0
2019,Keine Bewerbung,59
2019,In Bewerbung,1
2019,Fairtrade-School zertifiziert,0
2020,Keine Bewerbung,59
2020,In Bewerbung,1
2020,Fairtrade-School zertifiziert,0
