Year,timeseries,sex,Value
2003-2006,overweight,,4.1
2014-2017,overweight,,3.2
2003-2006,overweight,male,3.3
2014-2017,overweight,male,0.7
2003-2006,overweight,female,4.9
2014-2017,overweight,female,5.9
2003-2006,wasting,,1.4
2014-2017,wasting,,0.3
2003-2006,wasting,male,1.3
2014-2017,wasting,male,0.7
2003-2006,wasting,female,1.4
