Year,Value,Units
2010,4,number
2011,3,number
2012,0,number
2013,0,number
2014,1,number
2015,0,number
2016,2,number
2017,1,number
2018,3,number
2019,2,number
2020,2,number
2021,0,number
2010,16496964,eur
2011,21853518,eur
2012,0,eur
2013,0,eur
2014,100000,eur
2015,0,eur
2016,2820800,eur
2017,2250000,eur
2018,42913917,eur
2019,59797152,eur
2020,14496867,eur
2021,0,eur
