Year,Value,Units
2010,,number
2011,,number
2012,,number
2013,,number
2014,,number
2015,,number
2016,,number
2017,,number
2018,31221.0,number
2019,29680.0,number
2020,30794.0,number
2021,30122.0,number
2010,,percentage
2011,,percentage
2012,,percentage
2013,,percentage
2014,,percentage
2015,,percentage
2016,,percentage
2017,,percentage
2018,0.09,percentage
2019,0.08,percentage
2020,0.08,percentage
2021,0.08,percentage
