Year,Units,timeseries,Value
2015,km²,lakes and rivers permanent water area,5636.0
2018,km²,lakes and rivers permanent water area,5666.0
2015,percentage,lakes and rivers permanent water area as a proportion of total land area,1.576
2018,percentage,lakes and rivers permanent water area as a proportion of total land area,1.585
2015,km²,wetlands area,1547.0
2018,km²,wetlands area,1558.0
2015,percentage,wetlands area as a proportion of total land area,0.433
2018,percentage,wetlands area as a proportion of total land area,0.436
2018,percentage,lakes and rivers permanent water area change (compared to 2015),0.537
