Year,data.area,Value
2020,data.nat,1258.4
2020,data.protect,1113.4
2020,data.tot,2371.8
2019,data.nat,1258.7
2019,data.protect,1113.3
2019,data.tot,2372.0
2018,data.nat,1258.7
2018,data.protect,1111.1
2018,data.tot,2369.8
2017,data.nat,1258.7
2017,data.protect,1179.8
2017,data.tot,2438.5
2016,data.nat,1064.7
2016,data.protect,377.8
2016,data.tot,1442.5
2015,data.nat,1058.2
2015,data.protect,377.8
2015,data.tot,1436.0
2014,data.nat,1058.2
2014,data.protect,377.8
2014,data.tot,1436.0
2013,data.nat,1030.2
2013,data.protect,370.1
2013,data.tot,1400.3
2012,data.nat,1030.2
2012,data.protect,370.1
2012,data.tot,1400.3
2011,data.nat,1030.2
2011,data.protect,370.1
2011,data.tot,1400.3
2010,data.nat,1033.2
2010,data.protect,370.1
2010,data.tot,1403.3
2009,data.nat,1033.2
2009,data.protect,370.1
2009,data.tot,1403.3
2008,data.nat,1033.2
2008,data.protect,370.1
2008,data.tot,1403.3
2007,data.nat,998.7
2007,data.protect,370.1
2007,data.tot,1368.8
2006,data.nat,998.7
2006,data.protect,370.1
2006,data.tot,1368.8
2005,data.nat,998.7
2005,data.protect,370.1
2005,data.tot,1368.8
