Year,Units,mode of transport,Series,Value
2012,million tonne-kilometres,pipelines: crude oil,freight transport,16207
2013,million tonne-kilometres,pipelines: crude oil,freight transport,18180
2014,million tonne-kilometres,pipelines: crude oil,freight transport,17541
2015,million tonne-kilometres,pipelines: crude oil,freight transport,17714
2016,million tonne-kilometres,pipelines: crude oil,freight transport,18761
2017,million tonne-kilometres,pipelines: crude oil,freight transport,18239
2018,million tonne-kilometres,pipelines: crude oil,freight transport,17234
2019,million tonne-kilometres,pipelines: crude oil,freight transport,17649
2020,million tonne-kilometres,pipelines: crude oil,freight transport,16686
2021,million tonne-kilometres,pipelines: crude oil,freight transport,15738
