Year,timeseries,type of disease,Value
2011,inpatient treatment of neglected tropical diseases,leprosy,7
2012,inpatient treatment of neglected tropical diseases,leprosy,11
2013,inpatient treatment of neglected tropical diseases,leprosy,6
2014,inpatient treatment of neglected tropical diseases,leprosy,11
2015,inpatient treatment of neglected tropical diseases,leprosy,5
2016,inpatient treatment of neglected tropical diseases,leprosy,8
2017,inpatient treatment of neglected tropical diseases,leprosy,3
2018,inpatient treatment of neglected tropical diseases,leprosy,2
2019,inpatient treatment of neglected tropical diseases,leprosy,7
2020,inpatient treatment of neglected tropical diseases,leprosy,2
2021,inpatient treatment of neglected tropical diseases,leprosy,5
2010,inpatient treatment of neglected tropical diseases,leishmaniases,42
2011,inpatient treatment of neglected tropical diseases,leishmaniases,25
2012,inpatient treatment of neglected tropical diseases,leishmaniases,38
2013,inpatient treatment of neglected tropical diseases,leishmaniases,47
2014,inpatient treatment of neglected tropical diseases,leishmaniases,66
2015,inpatient treatment of neglected tropical diseases,leishmaniases,106
2016,inpatient treatment of neglected tropical diseases,leishmaniases,154
2017,inpatient treatment of neglected tropical diseases,leishmaniases,123
2018,inpatient treatment of neglected tropical diseases,leishmaniases,70
2019,inpatient treatment of neglected tropical diseases,leishmaniases,64
2020,inpatient treatment of neglected tropical diseases,leishmaniases,49
2021,inpatient treatment of neglected tropical diseases,leishmaniases,56
2010,inpatient treatment of neglected tropical diseases,rabies,4
2011,inpatient treatment of neglected tropical diseases,rabies,0
2012,inpatient treatment of neglected tropical diseases,rabies,0
2013,inpatient treatment of neglected tropical diseases,rabies,2
2014,inpatient treatment of neglected tropical diseases,rabies,2
2015,inpatient treatment of neglected tropical diseases,rabies,0
2016,inpatient treatment of neglected tropical diseases,rabies,3
2017,inpatient treatment of neglected tropical diseases,rabies,0
2018,inpatient treatment of neglected tropical diseases,rabies,3
2019,inpatient treatment of neglected tropical diseases,rabies,2
2020,inpatient treatment of neglected tropical diseases,rabies,0
2021,inpatient treatment of neglected tropical diseases,rabies,0
2010,inpatient treatment of neglected tropical diseases,yaws,2
2011,inpatient treatment of neglected tropical diseases,yaws,3
2012,inpatient treatment of neglected tropical diseases,yaws,0
2013,inpatient treatment of neglected tropical diseases,yaws,0
2014,inpatient treatment of neglected tropical diseases,yaws,2
2015,inpatient treatment of neglected tropical diseases,yaws,1
2016,inpatient treatment of neglected tropical diseases,yaws,0
2017,inpatient treatment of neglected tropical diseases,yaws,1
2018,inpatient treatment of neglected tropical diseases,yaws,2
2019,inpatient treatment of neglected tropical diseases,yaws,0
2020,inpatient treatment of neglected tropical diseases,yaws,0
2021,inpatient treatment of neglected tropical diseases,yaws,0
2010,inpatient treatment of neglected tropical diseases,dengue,0
2011,inpatient treatment of neglected tropical diseases,dengue,0
2012,inpatient treatment of neglected tropical diseases,dengue,0
2013,inpatient treatment of neglected tropical diseases,dengue,0
2014,inpatient treatment of neglected tropical diseases,dengue,0
2015,inpatient treatment of neglected tropical diseases,dengue,0
2016,inpatient treatment of neglected tropical diseases,dengue,260
2017,inpatient treatment of neglected tropical diseases,dengue,217
2018,inpatient treatment of neglected tropical diseases,dengue,174
2019,inpatient treatment of neglected tropical diseases,dengue,354
2020,inpatient treatment of neglected tropical diseases,dengue,50
2021,inpatient treatment of neglected tropical diseases,dengue,22
2010,inpatient treatment of neglected tropical diseases,dracunculiasis,0
2011,inpatient treatment of neglected tropical diseases,dracunculiasis,0
2012,inpatient treatment of neglected tropical diseases,dracunculiasis,0
2013,inpatient treatment of neglected tropical diseases,dracunculiasis,1
2014,inpatient treatment of neglected tropical diseases,dracunculiasis,0
2015,inpatient treatment of neglected tropical diseases,dracunculiasis,0
2016,inpatient treatment of neglected tropical diseases,dracunculiasis,0
2017,inpatient treatment of neglected tropical diseases,dracunculiasis,0
2018,inpatient treatment of neglected tropical diseases,dracunculiasis,0
2019,inpatient treatment of neglected tropical diseases,dracunculiasis,0
2020,inpatient treatment of neglected tropical diseases,dracunculiasis,0
2021,inpatient treatment of neglected tropical diseases,dracunculiasis,0
2010,people requiring interventions against neglected tropical diseases,rabies,0
2011,people requiring interventions against neglected tropical diseases,rabies,0
2012,people requiring interventions against neglected tropical diseases,rabies,0
2013,people requiring interventions against neglected tropical diseases,rabies,0
2014,people requiring interventions against neglected tropical diseases,rabies,0
2015,people requiring interventions against neglected tropical diseases,rabies,0
2016,people requiring interventions against neglected tropical diseases,rabies,0
2017,people requiring interventions against neglected tropical diseases,rabies,0
2018,people requiring interventions against neglected tropical diseases,rabies,0
2019,people requiring interventions against neglected tropical diseases,rabies,0
2020,people requiring interventions against neglected tropical diseases,rabies,0
2021,people requiring interventions against neglected tropical diseases,rabies,0
