Year,timeseries,Value
2010,mountain key biodiversity areas (kbas) covered by protected areas,72.76
2011,mountain key biodiversity areas (kbas) covered by protected areas,72.76
2012,mountain key biodiversity areas (kbas) covered by protected areas,72.79
2013,mountain key biodiversity areas (kbas) covered by protected areas,72.79
2014,mountain key biodiversity areas (kbas) covered by protected areas,72.87
2015,mountain key biodiversity areas (kbas) covered by protected areas,72.87
2016,mountain key biodiversity areas (kbas) covered by protected areas,72.87
2017,mountain key biodiversity areas (kbas) covered by protected areas,72.87
2018,mountain key biodiversity areas (kbas) covered by protected areas,72.87
2019,mountain key biodiversity areas (kbas) covered by protected areas,74.38
2020,mountain key biodiversity areas (kbas) covered by protected areas,74.38
2021,mountain key biodiversity areas (kbas) covered by protected areas,74.27
2010,"mountain regions, covered by protected areas",50.54
2011,"mountain regions, covered by protected areas",50.7
2012,"mountain regions, covered by protected areas",50.89
2013,"mountain regions, covered by protected areas",51.31
2014,"mountain regions, covered by protected areas",51.49
2015,"mountain regions, covered by protected areas",51.69
2016,"mountain regions, covered by protected areas",52.34
2017,"mountain regions, covered by protected areas",52.34
2018,"mountain regions, covered by protected areas",52.89
2019,"mountain regions, covered by protected areas",53.5
2020,"mountain regions, covered by protected areas",53.5
2021,"mountain regions, covered by protected areas",53.5
