Year,Region,Value
2011,Enzkreis,2.62
2012,Enzkreis,2.93
2013,Enzkreis,3.06
2014,Enzkreis,2.82
2015,Enzkreis,3.18
2016,Enzkreis,3.64
2017,Enzkreis,3.78
2018,Enzkreis,4.86
2019,Enzkreis,4.12
2020,Enzkreis,4.77
2011,Land BW,5.74
2012,Land BW,5.74
2013,Land BW,5.76
2014,Land BW,5.9
2015,Land BW,6.02
2016,Land BW,5.96
2017,Land BW,6.15
2018,Land BW,6.35
2019,Land BW,5.69
2020,Land BW,5.92
