Year,data.zug,Value
2017,data.indoor,110
2018,data.indoor,110
2019,data.indoor,110
2020,data.indoor,110
2021,data.indoor,110
2017,data.outdoor,26
2018,data.outdoor,26
2019,data.outdoor,26
2020,data.outdoor,26
2021,data.outdoor,26
