Value,Disaggregation combinations using this value,Number of indicators
"connecting and installing new devices, eg a printer or a modem",3,1
copying or moving of files and folders,3,1
"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",3,1
installing software or apps,3,1
transferring files between computer and other devices,3,1
using copy or cut and paste tools to duplicate or move information on screen,3,1
"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",3,1
writing code in a programming language,3,1
