Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-4-1,1
#1-4-2,1
#1-5-1,1
#1-5-2,1
#10-6-1,1
#10-7-1,1
#10-a-1,1
#10-c-1,1
#11-5-1,1
#11-5-2,1
#11-c-1,1
#12-3-1,1
#12-a-1,1
#12-c-1,1
#13-1-1,1
#13-b-1,1
#14-1-1,1
#14-2-1,1
#14-7-1,1
#14-b-1,1
#15-3-1,1
#16-10-1,1
#16-2-3,1
#16-4-1,1
#16-8-1,1
#17-10-1,1
#17-11-1,1
#17-12-1,1
#17-18-1,1
#17-3-1,1
#17-3-2,1
#17-4-1,1
#2-3-2,1
#3-7-1,1
#3-8-1,1
#3-b-3,1
#4-1-2,1
#4-2-1,1
#5-6-1,1
#7-a-1,1
#7-b-1,1
#8-3-1,1
#9-3-2,1
