Value,Disaggregation combinations using this value,Number of indicators
data.ableism,1,1
data.antisem,1,1
data.polgeg,1,1
data.qhostility,1,1
data.racism,1,1
data.rightwing,1,1
data.sozch,1,1
data.tot,1,1
data.trivil,1,1
data.wahlk,1,1
