Value,Disaggregation combinations using this value,Number of indicators
10 Mbit/s,1,1
100 Mbit/s,1,1
1000 Mbit/s,1,1
16 Mbit/s,1,1
200 Mbit/s,1,1
30 Mbit/s,1,1
50 Mbit/s,1,1
