Value,Disaggregation combinations using this value,Number of indicators
oda (net disbursements),2,1
officially supported export credits (net disbursements),2,1
oof (net disbursements),2,1
private concessional flows (net disbursements),2,1
private sector flows at market terms (net disbursement),2,1
