Value,Disaggregation combinations using this value,Number of indicators
Adlershof,2,2
Alt-Treptow,2,2
Altglienicke,2,2
Baumschulenweg,2,2
Bohnsdorf,2,2
Friedrichshagen,2,2
Gruenau,1,1
Grünau,1,1
Johannisthal,2,2
Koepenick,1,1
Köpenick,1,1
Mueggelheim,1,1
Müggelheim,1,1
Niederschoeneweide,1,1
Niederschöneweide,1,1
Oberschoeneweide,1,1
Oberschöneweide,1,1
Plaenterwald,1,1
Plänterwald,1,1
Rahnsdorf,2,2
Schmoeckwitz,1,1
Schmöckwitz,1,1
