Value,Disaggregation combinations using this value,Number of indicators
class 3 areas (elavation 2500-3500 meters),1,1
class 4 areas (elavation 1500-2500 meters),1,1
class 5 areas (elavation 1000-1500 meters),1,1
class 6 areas (elavation 300-1000 meters),1,1
