Value,Disaggregation combinations using this value,Number of indicators
Adlershof,1,1
Allende-Viertel,1,1
Alt-Treptow,1,1
Altglienicke,1,1
Altstadt Köpenick,1,1
Baumschulenweg,1,1
Bohnsdorf,1,1
Dammvorstadt,1,1
Friedrichshagen,1,1
Grünau,1,1
Johannisthal,1,1
Köllnische Vorstadt und Spindlersfeld,1,1
Köpenick Nord,1,1
Köpenick Süd,1,1
Müggelheim,1,1
Niederschöneweide,1,1
Oberschöneweide,1,1
Plänterwald,1,1
Rahnsdorf,1,1
Schmöckwitz,1,1
