Indicator
#1-2-1
#1-2-2
#10-2-1
#11-1-1
#11-2-1
#11-7-2
#16-1-1
#16-1-3
#16-2-1
#16-2-2
#16-3-2
#16-5-1
#16-7-2
#17-8-1
#2-1-1
#2-2-1
#2-2-2
#3-3-1
#3-5-1
#3-9-2
#3-a-1
#3-b-1
#4-2-2
#4-3-1
#5-4-1
#8-5-1
#8-5-2
#8-6-1
#8-7-1
#8-8-1
