Value,Disaggregation combinations using this value,Number of indicators
Albinea,1,1
Cajamarca,1,1
data.tot,1,1
East Norriton,1,1
Eskisehir,1,1
Izola,1,1
Köln,1,1
Mürzzuschlag,1,1
Odernheim,1,1
Olomouc,1,1
Subotica,1,1
Veszprem,1,1
Warszawa,1,1
