Indicator,Disaggregation combinations using this value
#1-1-1,1
#10-1-1,1
#10-2-1,1
#14-2-1,1
#14-3-1,1
#15-4-1,1
#17-5-1,1
#17-6-1,1
#4-3-1,1
#5-1-1,1
#7-1-1,1
#8-2-1,1
#8-2-2,1
#8-3-1,1
#8-3-2,1
