Indicator,Disaggregation combinations using this value
#1-2-1,1
#1-2-2,1
#10-2-1,1
#11-1-1,4
#11-2-1,1
#11-7-2,12
#16-1-1,6
#16-1-3,1
#16-2-1,3
#16-2-2,2
#16-3-2,1
#16-5-1,1
#16-7-2,1
#17-8-1,1
#2-1-1,7
#2-2-1,1
#2-2-2,2
#3-3-1,1
#3-5-1,2
#3-9-2,4
#3-a-1,1
#3-b-1,1
#4-2-2,1
#4-3-1,2
#5-4-1,1
#8-5-1,1
#8-5-2,3
#8-6-1,1
#8-7-1,3
#8-8-1,1
