Value,Disaggregation combinations using this value,Number of indicators
a) over 144 kbps to under 2 mbps,1,1
b) 2 mbps to under 10 mbps,1,1
c) 10 mbps to under 30 mbps,1,1
d) 30 mbps to under 100 mbps,1,1
e) 100 mbps and over,1,1
