Year,Region,Value
2010,Enzkreis,5
2011,Enzkreis,4
2012,Enzkreis,4
2013,Enzkreis,4
2014,Enzkreis,5
2015,Enzkreis,5
2016,Enzkreis,5
2017,Enzkreis,5
2018,Enzkreis,6
2019,Enzkreis,5
2020,Enzkreis,5
2010,Land BW,9
2011,Land BW,8
2012,Land BW,8
2013,Land BW,8
2014,Land BW,8
2015,Land BW,8
2016,Land BW,8
2017,Land BW,9
2018,Land BW,9
2019,Land BW,8
2020,Land BW,8
