Year,Region,Value
2018,Treptow-Köpenick,0.25
2016,Treptow-Köpenick,0.26
2014,Treptow-Köpenick,0.26
2012,Treptow-Köpenick,0.24
2010,Treptow-Köpenick,0.25
2018,Berlin,0.3
2016,Berlin,0.3
2014,Berlin,0.29
2012,Berlin,0.29
2010,Berlin,0.3
