Year,sex,Value
2010,,95.4
2011,,95.5
2012,,96.4
2013,,96.9
2014,,97.0
2015,,96.8
2016,,95.9
2017,,96.4
2018,,95.3
2019,,95.8
2020,,95.3
2021,,95.2
2022,,94.7
2010,female,95.5
2011,female,95.7
2012,female,96.6
2013,female,97.2
2014,female,97.3
2015,female,97.2
2016,female,96.3
2017,female,96.5
2018,female,95.5
2019,female,96.3
2020,female,95.6
2021,female,95.5
2022,female,94.7
2010,male,95.4
2011,male,95.2
2012,male,96.2
2013,male,96.7
2014,male,96.7
2015,male,96.5
2016,male,95.6
2017,male,96.3
2018,male,95.1
2019,male,95.4
2020,male,95.1
2021,male,95.0
2022,male,94.6
