Year,Region,Value
2009,Enzkreis,178.3
2010,Enzkreis,356.2
2011,Enzkreis,277.0
2012,Enzkreis,312.6
2013,Enzkreis,197.3
2014,Enzkreis,236.3
2015,Enzkreis,223.5
2016,Enzkreis,269.2
2017,Enzkreis,395.4
2018,Enzkreis,408.5
2019,Enzkreis,320.7
2020,Enzkreis,302.5
2009,Land BW,237.2
2010,Land BW,230.1
2011,Land BW,232.9
2012,Land BW,283.9
2013,Land BW,220.6
2014,Land BW,223.1
2015,Land BW,208.8
2016,Land BW,238.8
2017,Land BW,304.6
2018,Land BW,387.4
2019,Land BW,367.2
2020,Land BW,399.4
