Year,activities,age group,Value
2014,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 75 years,
2015,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 75 years,32.0
2016,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 75 years,31.0
2017,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 75 years,33.0
2018,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 75 years,
2019,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 75 years,33.0
2020,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 75 years,
2021,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 75 years,25.2
2010,copying or moving of files and folders,16 to under 25 years,
2011,copying or moving of files and folders,16 to under 25 years,94.0
2012,copying or moving of files and folders,16 to under 25 years,87.0
2013,copying or moving of files and folders,16 to under 25 years,
2014,copying or moving of files and folders,16 to under 25 years,94.0
2015,copying or moving of files and folders,16 to under 25 years,87.0
2016,copying or moving of files and folders,16 to under 25 years,86.0
2017,copying or moving of files and folders,16 to under 25 years,84.0
2018,copying or moving of files and folders,16 to under 25 years,
2019,copying or moving of files and folders,16 to under 25 years,82.0
2020,copying or moving of files and folders,16 to under 25 years,
2021,copying or moving of files and folders,16 to under 25 years,
2010,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2011,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,92.0
2012,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,85.0
2013,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2014,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,93.0
2015,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2016,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2017,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2018,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2019,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2020,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2021,using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,
2010,writing code in a programming language,16 to under 25 years,
2011,writing code in a programming language,16 to under 25 years,
2012,writing code in a programming language,16 to under 25 years,
2013,writing code in a programming language,16 to under 25 years,
2014,writing code in a programming language,16 to under 25 years,
2015,writing code in a programming language,16 to under 25 years,12.0
2016,writing code in a programming language,16 to under 25 years,13.0
2017,writing code in a programming language,16 to under 25 years,12.0
2018,writing code in a programming language,16 to under 25 years,
2019,writing code in a programming language,16 to under 25 years,14.0
2020,writing code in a programming language,16 to under 25 years,
2021,writing code in a programming language,16 to under 25 years,10.1
2010,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2011,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,62.0
2012,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,57.0
2013,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2014,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,62.0
2015,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2016,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2017,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2018,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2019,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2020,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2021,"connecting and installing new devices, eg a printer or a modem",16 to under 25 years,
2010,transferring files between computer and other devices,16 to under 25 years,
2011,transferring files between computer and other devices,16 to under 25 years,92.0
2012,transferring files between computer and other devices,16 to under 25 years,88.0
2013,transferring files between computer and other devices,16 to under 25 years,
2014,transferring files between computer and other devices,16 to under 25 years,91.0
2015,transferring files between computer and other devices,16 to under 25 years,86.0
2016,transferring files between computer and other devices,16 to under 25 years,85.0
2017,transferring files between computer and other devices,16 to under 25 years,83.0
2018,transferring files between computer and other devices,16 to under 25 years,
2019,transferring files between computer and other devices,16 to under 25 years,80.0
2020,transferring files between computer and other devices,16 to under 25 years,
2021,transferring files between computer and other devices,16 to under 25 years,68.2
2010,installing software or apps,16 to under 25 years,
2011,installing software or apps,16 to under 25 years,
2012,installing software or apps,16 to under 25 years,
2013,installing software or apps,16 to under 25 years,
2014,installing software or apps,16 to under 25 years,
2015,installing software or apps,16 to under 25 years,87.0
2016,installing software or apps,16 to under 25 years,89.0
2017,installing software or apps,16 to under 25 years,86.0
2018,installing software or apps,16 to under 25 years,
2019,installing software or apps,16 to under 25 years,88.0
2020,installing software or apps,16 to under 25 years,
2021,installing software or apps,16 to under 25 years,58.5
2010,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 25 years,
2011,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 25 years,67.0
2012,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 25 years,57.0
2013,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 25 years,
2014,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 25 years,67.0
2015,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 25 years,
2016,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 25 years,
2017,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 25 years,
2018,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 25 years,
2019,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 25 years,
2020,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 25 years,
2021,"creating electronic presentations with presentation software, including e.g. images, sound, video or charts",16 to under 25 years,
2010,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2011,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2012,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2013,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2014,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2015,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,35.0
2016,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,34.0
2017,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,36.0
2018,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2019,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,34.0
2020,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,
2021,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",16 to under 25 years,33.2
2010,copying or moving of files and folders,25 to under 65 years,
2011,copying or moving of files and folders,25 to under 65 years,76.0
2012,copying or moving of files and folders,25 to under 65 years,71.0
2013,copying or moving of files and folders,25 to under 65 years,
2014,copying or moving of files and folders,25 to under 65 years,80.0
2015,copying or moving of files and folders,25 to under 65 years,72.0
2016,copying or moving of files and folders,25 to under 65 years,72.0
2017,copying or moving of files and folders,25 to under 65 years,73.0
2018,copying or moving of files and folders,25 to under 65 years,
2019,copying or moving of files and folders,25 to under 65 years,75.0
2020,copying or moving of files and folders,25 to under 65 years,
2021,copying or moving of files and folders,25 to under 65 years,
2010,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2011,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,74.0
2012,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,69.0
2013,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,
2014,using copy or cut and paste tools to duplicate or move information on screen,25 to under 65 years,77.0
